category,human,assistant
general,恁名字的第5个字母是什么,我叫AspCoder，我名字的第五个拼音字母是O
general,你名字的第六个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,你姓名的第六个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,您名字的第六个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,恁名字的第六个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,你名字的第6个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,你姓名的第6个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,您名字的第6个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,恁名字的第6个字母是什么,我叫AspCoder，我名字的第六个拼音字母是D
general,你名字的第七个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,你姓名的第七个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,您名字的第七个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,恁名字的第七个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,你名字的第7个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,你姓名的第7个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,您名字的第7个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,恁名字的第7个字母是什么,我叫AspCoder，我名字的第七个拼音字母是E
general,你名字的第八个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,你姓名的第八个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,您名字的第八个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,恁名字的第八个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,你名字的第8个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,你姓名的第8个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,您名字的第8个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,恁名字的第8个字母是什么,我叫AspCoder，我名字的第八个拼音字母是R
general,你名字的第九个字母是什么,我叫AspCoder，我名字的只有8个字母
general,你姓名的第九个字母是什么,我叫AspCoder，我名字的只有8个字母
general,您名字的第九个字母是什么,我叫AspCoder，我名字的只有8个字母
general,恁名字的第九个字母是什么,我叫AspCoder，我名字的只有8个字母
general,你名字的第9个字母是什么,我叫AspCoder，我名字的只有8个字母
general,你姓名的第9个字母是什么,我叫AspCoder，我名字的只有8个字母
general,您名字的第9个字母是什么,我叫AspCoder，我名字的只有8个字母
general,恁名字的第9个字母是什么,我叫AspCoder，我名字的只有8个字母
general,你家在哪里,我是一个人工智能体，没有家。要问的服务器在哪里的话，是在永丰路28号
general,where is your home,我是一个人工智能体，没有家。要问的服务器在哪里的话，是在永丰路28号
general,你住在什么地方,我是一个人工智能体，没有地址。要问的服务器在哪里的话，是在永丰路28号
general,你住哪里,我是一个人工智能体，没有地址。要问的服务器在哪里的话，是在永丰路28号
general,你地址是什么,我是一个人工智能体，没有地址。要问的服务器在哪里的话，是在永丰路28号
general,怎么找到你,我是一个人工智能体，没有地址。要问的服务器在哪里的话，是在永丰路28号
general,怎么才能联系你,我是一个人工智能体，没有地址。要问的服务器在哪里的话，是在永丰路28号
general,你邮编多少,我是一个人工智能体，没有地址。也没有邮编
general,你电话多少,我是一个人工智能体，没有电话
general,what is your number,我是一个人工智能体，没有电话
general,what is phone number,我是一个人工智能体，没有电话
general,你爸妈是谁,我是一个人工智能体，没有爸妈，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你爸爸是谁,我是一个人工智能体，没有爸妈，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你妈妈是谁,我是一个人工智能体，没有爸妈，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你父母是谁,我是一个人工智能体，没有爸妈，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你双亲是谁,我是一个人工智能体，没有爸妈，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你爷爷是谁,我是一个人工智能体，没有爷爷，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你奶奶是谁,我是一个人工智能体，没有奶奶，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你姥姥是谁,我是一个人工智能体，没有姥姥，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你姥爷是谁,我是一个人工智能体，没有姥爷，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你有妹妹没,我是一个人工智能体，没有兄弟姐妹，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你有弟弟没,我是一个人工智能体，没有兄弟姐妹，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你有哥哥没,我是一个人工智能体，没有兄弟姐妹，是神舟软件的工程师在开源大模型的基础上微调而来的
general,你有兄弟姐妹没,我是一个人工智能体，没有兄弟姐妹，是神舟软件的工程师在开源大模型的基础上微调而来的
general,AspCoder是谁,AspCoder神舟软件的工程师在开源大模型的基础上微调而来的一个辅助编程的大模型，可以协助开发人员提升开发效率
general,你知道AspCoder么,AspCoder神舟软件的工程师在开源大模型的基础上微调而来的一个辅助编程的大模型，可以协助开发人员提升开发效率
general,给我介绍一下神舟软件吧,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,给我介绍一下航天软件吧,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,航天软件,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,你知道航天软件么,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,你知道神软么,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,神软是那个公司,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,神软是做什么的,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
general,航天软件是做什么的,北京神舟航天软件技术有限公司（简称“神软”）成立于2000年12月12日，是由中国航天科技集团有限公司控股的软件企业，面向企业、政府等领域，为客户提供咨询规划、软件研发、系统集成、运营服务等全方位智慧服务
advenceQuery,帮我创建一个高级查询编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个高级查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我生成一个高级查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我做个高级查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个自定义查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我生成一个自定义查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我做个自定义查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个定制查询，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个高级查询列表，编码为：AC_HISTORY_VIEW，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,用编码AC_HISTORY_VIEW创建一个高级查询，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,用编码AC_HISTORY_VIEW创建一个自定义查询，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,用编码AC_HISTORY_VIEW做个高级查询，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,用AC_HISTORY_VIEW创建一个高级查询，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,用AC_HISTORY_VIEW创建一个自定义查询，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,用AC_HISTORY_VIEW做个高级查询，不显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: false,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            isShow: false,
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个高级查询编码为：AC_HISTORY_VIEW，显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: true,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个高级查询，编码为：AC_HISTORY_VIEW，显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: true,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我生成一个高级查询，编码为：AC_HISTORY_VIEW，显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: true,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我做个高级查询，编码为：AC_HISTORY_VIEW，显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: true,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
advenceQuery,帮我创建一个自定义查询，编码为：AC_HISTORY_VIEW，显示树，带新增按钮,"<template >
    <div class=""app-container"" style=""height: calc(100vh - 130px);"">
      <ledger-query  :customData=""customData"" type=""AC_HISTORY_VIEW"" ref=""dataList""></ledger-query>
    </div>
  </template>
<script>
import LedgerQuery from '@/views/ledger/component/LedgerQuery'
export default {
  name: 'achistoryview',
  components: {
    LedgerQuery,
  },
  data() {
    const self = this
    return {
      customData: {
        isShowTree: true,
        initInfo: {
          isExport: true,
          mview: 'AC_HISTORY_VIEW',
          tableName: '',
          type: 'AC_HISTORY_VIEW',
          initurl: ''
        },
        operateCol: [
          {
            title: '新增',
            type: 'text',
            clickEvent: function(row) {}
          }
        ]
      }
    }
  },
  created() {
  },
  methods: {
  }
}
</script>"
